"ObjNAME","ObjTYPE","ObjREFERENCE","ObjREFERENCEtype"
"=1073763642/78014","SCFITT","/ASBH-1.5""-WF-031027-AK1/B04","SCBRAN"
"=1073763642/78014","SCFITT","/ASBH-1.5""-WF-031027-AK1/B01","SCBRAN"
"/ASBH-1.5""-WF-031027-AK1/B01","SCBRAN","=1073763642/78014","SCFITT"
"=1073763642/78020","SCFITT","/ASBH-1.5""-WF-031026-AK1/B02","SCBRAN"
"=1073763642/78020","SCFITT","/ASBH-1.5""-WF-031026-AK1/B01","SCBRAN"
"/ASBH-1.5""-WF-031026-AK1/B01","SCBRAN","=1073763642/78020","SCFITT"
"=1073763642/78022","SCFITT","/ASBH-1.5""-WF-031026-AK1/B03","SCBRAN"
"=1073763642/78022","SCFITT","/ASBH-1.5""-WF-031026-AK1/B01","SCBRAN"
"/ASBH-1.5""-WF-031026-AK1/B01","SCBRAN","=1073763642/78022","SCFITT"
"=1073763642/78024","SCFITT","/ASBH-1.5""-WF-031026-AK1/B04","SCBRAN"
"=1073763642/78024","SCFITT","/ASBH-1.5""-WF-031026-AK1/B01","SCBRAN"
"/ASBH-1.5""-WF-031026-AK1/B01","SCBRAN","=1073763642/78024","SCFITT"
"=1073763642/78030","SCFITT","/ASBH-1.5""-WF-031025-AK1/B02","SCBRAN"
"=1073763642/78030","SCFITT","/ASBH-1.5""-WF-031025-AK1/B01","SCBRAN"
"/ASBH-1.5""-WF-031025-AK1/B01","SCBRAN","=1073763642/78030","SCFITT"
"=1073763642/78032","SCFITT","/ASBH-1.5""-WF-031025-AK1/B03","SCBRAN"
