,ObjNAME_x,ObjTYPE_x,Path,ObjREFERENCE,ObjREFERENCEtype,ObjNAME_y,ObjTYPE_y
170,/ASBHA-T-3910,SCEQUI,/ASBHA-T-3910/N2,"/ASBH-2""-CY-392180-AS1/B01",SCBRAN,,
171,/ASBHA-T-3910,SCEQUI,/ASBHA-T-3910/N2,"/ASBH-2""-CY-392180-AS1/B02",SCBRAN,,
172,/ASBHA-T-3910,SCEQUI,/ASBHA-T-3910/N2,"/ASBH-2""-CY-392180-AS1/B03",SCBRAN,,
173,/ASBHA-T-3910,SCEQUI,/ASBHA-T-3910/N2,"/ASBH-2""-CY-392180-AS1/B04",SCBRAN,,
174,/ASBHA-T-3925,SCEQUI,/ASBHA-T-3925/N,"/ASBH-3""-DO-392503-AT1/B01",SCBRAN,,
175,/ASBHA-T-5101,SCEQUI,=1073763642/163649,"/ASBH-2""-WW-512005-AR1/B01",SCBRAN,,
176,/ASBHA-T-5101,SCEQUI,=1073763642/163741,"/ASBH-2""-WW-512004-AR1/B01",SCBRAN,,
177,/ASBHA-T-5101,SCEQUI,=1073763642/163759,"/ASBH-2""-WW-512003-AR1/B01",SCBRAN,,
178,/ASBHA-T-5101,SCEQUI,=1073763642/163765,"/ASBH-2""-WW-512002-AR1/B01",SCBRAN,,
179,/ASBHA-T-5101,SCEQUI,=1073763642/163797,"/ASBH-4""-WW-510003-AR1/B01",SCBRAN,,
180,/ASBHA-T-5101,SCEQUI,=1073763642/163797,"/ASBH-4""-WW-512001-AR1/B01",SCBRAN,,
181,/ASBHA-T-5101,SCEQUI,=1073763642/163797,"/ASBH-4""-WW-510001-AR1/B01",SCBRAN,,
182,/ASBHA-P-3501,SCEQUI,=1073788218/20701,"/ASBH-3""-WI-355036-FD1/B01",SCBRAN,,
183,/ASBHA-P-3501,SCEQUI,=1073788218/20701,"/ASBH-2""-WI-355064-FD1/B01",SCBRAN,,
184,/ASBHA-P-3501,SCEQUI,=1073788218/20701,"/ASBH-3""-WI-355038-FD1/B01",SCBRAN,,
185,/ASBHA-P-3501,SCEQUI,=1073788218/20701,"/ASBH-2""-WI-355062-FD1/B01",SCBRAN,,
186,/ASBHA-P-3501,SCEQUI,=1073788218/20701,"/ASBH-2""-WI-355063-FD1/B01",SCBRAN,,
187,/ASBHA-P-3501,SCEQUI,=1073788218/20701,"/ASBH-3""-WI-355053-FD1/B01",SCBRAN,,
188,/ASBHA-P-3501,SCEQUI,=1073788218/20701,"/ASBH-3""-WI-355043-FD1/B02",SCBRAN,,
189,/ASBHA-P-3501,SCEQUI,=1073788218/20705,"/ASBH-3""-WI-355051-FD1/B01",SCBRAN,,
190,/ASBHA-P-3501,SCEQUI,=1073788218/20705,"/ASBH-0.5""-WI-355049-FD1/B01",SCBRAN,,
191,/ASBHA-P-3501,SCEQUI,=1073788218/20701,"/ASBH-3""-WI-355067-FD1/B01",SCBRAN,,
192,/ASBHA-P-3501,SCEQUI,=1073788218/20701,"/ASBH-2""-WI-355095-FD1/B01",SCBRAN,,
193,/ASBHA-P-3501,SCEQUI,=1073788218/20701,"/ASBH-0.25""-WI-355047-FD1/B01",SCBRAN,,
194,/ASBHA-P-3501,SCEQUI,=1073788218/20701,"/ASBH-2""-WI-355046-FD1/B01",SCBRAN,,
195,/ASBHA-P-3501,SCEQUI,=1073788218/20701,"/ASBH-3""-WI-355043-FD1/B03",SCBRAN,,
196,/ASBHA-P-3501,SCEQUI,=1073788218/20701,"/ASBH-3""-WI-355089-FD1/B01",SCBRAN,,
