"ObjNAME","ObjTYPE","ObjREFERENCE"
"=1140867314/201178","SCFITT","/=1140867314/201170/B07","SCBRAN"
"=1140867314/201180","SCFITT","/=1140867314/208460/B02","SCBRAN"
"=1140867314/202125","SCFITT","/=1140867314/201170/B03","SCBRAN"
"=1140867314/202127","SCFITT","/=1140867314/201170/B04","SCBRAN"
"=1140867314/202131","SCFITT","=1140891890/29741","SCBRAN"
"=1140867314/201203","SCFITT","/=1140867314/201232/B01","SCBRAN"
"=1140867314/201205","SCFITT","/=1140867314/201197/B04","SCBRAN"
"=1140867314/201209","SCFITT","/=1140867314/201319/B01","SCBRAN"
"=1140867314/208585","SCFITT","/=1140867314/201197/B01","SCBRAN"
"=1140908274/10242","SCFITT","/=1140908274/10216/B01","SCBRAN"
"=1140867314/201244","SCFITT","/=1140867314/201257/B01","SCBRAN"
"=1140867314/201246","SCFITT","/=1140867314/201126/B01","SCBRAN"
"=1140908274/5246","SCFITT","/=1140867314/207243/B02","SCBRAN"
"=1140908274/10246","SCFITT","/=1140908274/10184/B01","SCBRAN"
"=1140908274/10206","SCFITT","/=1140908274/10148/B01","SCBRAN"
"=1140867314/201290","SCFITT","/=1140867314/201296/B01","SCBRAN"
"=1140908274/10212","SCFITT","/=1140908274/10166/B01","SCBRAN"
"=1140891890/28848","SCFITT","/=1140891890/28843/B01","SCBRAN"
"=1140891890/28850","SCFITT","/=1140891890/28843/B03","SCBRAN"
"=1140867314/201150","SCFITT","/=1140867314/208460/B01","SCBRAN"
"=1140867314/208452","SCFITT","/=1140867314/208460/B03","SCBRAN"
"=1140867314/201152","SCFITT","/=1140867314/208460/B04","SCBRAN"
"=1140867314/208519","SCFITT","/=1140867314/208514/B01","SCBRAN"
"=1140867314/208521","SCFITT","/=1140867314/208514/B03","SCBRAN"
"=1140891890/29114","SCFITT","=1140908274/9535","SCBRAN"
"=1140891890/29116","SCFITT","/=1140891890/29109/B04","SCBRAN"
"=1140891890/29118","SCFITT","/=1140891890/29312/B01","SCBRAN"
"=1140891890/29120","SCFITT","/=1140891890/29109/B02","SCBRAN"
"=1140891890/29145","SCFITT","/=1140891890/29140/B01","SCBRAN"
"=1140891890/29147","SCFITT","/=1140891890/29140/B03","SCBRAN"
"=1140867314/237365","SCFITT","=1140867314/237313","SCBRAN"
"=1140891890/29197","SCFITT","/=1140891890/29208/B01","SCBRAN"
"=1140891890/29199","SCFITT","/=1140891890/29122/B01","SCBRAN"
"=1140908274/5193","SCFITT","/=1140867314/207243/B03","SCBRAN"
"=1140867314/237359","SCFITT","=1140867314/237335","SCBRAN"
"=1140891890/29241","SCFITT","/=1140891890/29237/B01","SCBRAN"
"=1140891890/29243","SCFITT","/=1140891890/29237/B06","SCBRAN"
"=1140891890/29245","SCFITT","/=1140891890/29237/B07","SCBRAN"
"=1140891890/29247","SCFITT","/=1140891890/29274/B02","SCBRAN"
"=1140883698/39658","SCFITT","/=1140891890/29237/B03","SCBRAN"
"=1140883698/39664","SCFITT","/=1140891890/29712/B01","SCBRAN"
"=1140867314/237281","SCFITT","=1140867314/237259","SCBRAN"
"=1140891890/29264","SCFITT","/=1140891890/29316/B01","SCBRAN"
"=1140891890/29271","SCFITT","/=1140891890/29312/B01","SCBRAN"
"=1140891890/29278","SCFITT","/=1140891890/29274/B01","SCBRAN"
"=1140891890/29280","SCFITT","/=1140891890/29274/B03","SCBRAN"
