Column1,ObjNAME,ObjTYPE,Path,ObjREFERENCE,ObjREFERENCEtype,,
241,/ASBHA-P-3414,SCEQUI,/ASBHA-P-3414/N1,"/ASBH-4""-OCS-340315-BD1/B02",SCBRAN,,"/ASBH-6""-GPS-380901-AD4/B01"
242,/ASBHA-P-3414,SCEQUI,/ASBHA-P-3414/N1,"/ASBH-4""-OCS-340315-BD1/B01",SCBRAN,,"/ASBH-8""-GPS-381001-AD4/B01"
243,/ASBHA-P-3414,SCEQUI,/ASBHA-P-3414/N1,"/ASBH-4""-OCS-340315-BD1/B03",SCBRAN,,"/ASBH-8""-GPS-381101-AD4/B01"
245,/ASBHA-P-3414,SCEQUI,/ASBHA-P-3414/N1,"/ASBH-4""-OCS-340044-BD1/B01",SCBRAN,,"/ASBH-8""-GPS-381201-AD4/B01"
247,/ASBHA-P-3414,SCEQUI,/ASBHA-P-3414/N1,"/ASBH-4""-OCS-340044-BD1/B03",SCBRAN,,"/ASBH-8""-GPS-383701-AD4/B01"
249,/ASBHA-P-3414,SCEQUI,/ASBHA-P-3414/N1,"/ASBH-4""-OCS-340044-BD1/B05",SCBRAN,,/ASBHA-EP-3810
251,/ASBHA-P-3414,SCEQUI,/ASBHA-P-3414/N1,"/ASBH-4""-OCS-340044-BD1/B06",SCBRAN,,"/ASBH-16""-GPS-381013-AD5/B01"
256,/ASBHA-P-3414,SCEQUI,/ASBHA-P-3414/N2,"/ASBH-3""-OCS-340318-BD1/B02",SCBRAN,,"/ASBH-2""-GPS-380057-AD1/B01"
257,/ASBHA-P-3414,SCEQUI,/ASBHA-P-3414/N2,"/ASBH-3""-OCS-340318-BD1/B01",SCBRAN,,"/ASBH-2""-GPS-384014-AD4/B01"
258,/ASBHA-P-3414,SCEQUI,/ASBHA-P-3414/N2,"/ASBH-2""-OCS-340025-BD1/B01",SCBRAN,,"/ASBH-20""-GPS-381004-AD5/B01"
262,/ASBHA-P-3414,SCEQUI,/ASBHA-P-3414/N2,"/ASBH-3""-OCS-340316-BD1/B02",SCBRAN,,"/ASBH-3""-GPS-381002-AD4/B01"
263,/ASBHA-P-3414,SCEQUI,/ASBHA-P-3414/N2,"/ASBH-3""-OCS-340316-BD1/B01",SCBRAN,,"/ASBH-4""-GPS-381003-AD4/B01"
264,/ASBHA-P-3414,SCEQUI,/ASBHA-P-3414/N2,"/ASBH-3""-OCS-340316-BD1/B03",SCBRAN,,"/ASBH-6""-GPS-380901-AD4/B01"
266,/ASBHA-P-3414,SCEQUI,/ASBHA-P-3414/N2,"/ASBH-3""-OCS-340316-BD1/B07",SCBRAN,,"/ASBH-8""-GPS-381001-AD4/B01"
268,/ASBHA-P-3414,SCEQUI,/ASBHA-P-3414/N2,"/ASBH-3""-OCS-340316-BD1/B04",SCBRAN,,"/ASBH-8""-GPS-381101-AD4/B01"
270,/ASBHA-P-3414,SCEQUI,/ASBHA-P-3414/N2,"/ASBH-2""-OCS-340319-BD1/B01",SCBRAN,,"/ASBH-8""-GPS-381201-AD4/B01"
272,/ASBHA-P-3414,SCEQUI,/ASBHA-P-3414/N2,"/ASBH-3""-OCS-340316-BD1/B08",SCBRAN,,"/ASBH-8""-GPS-383701-AD4/B01"
277,/ASBHA-P-3948,SCEQUI,/=1073780026/40065/N2,"/ASBH-0.5""-CY-392221-AT1/B01",SCBRAN,,/ASBHA-EP-3811
278,/ASBHA-P-3948,SCEQUI,/=1073780026/40065/N,"/ASBH-1""-CY-392219-AT1/B01",SCBRAN,,"/ASBH-14""-GPS-381113-AD5/B01"
279,/ASBHA-P-3948,SCEQUI,/=1073780026/40065/N2,"/ASBH-0.5""-CY-392221-AT1/B04",SCBRAN,,"/ASBH-2""-GPS-384017-AD4/B01"
281,/ASBHA-P-3948,SCEQUI,/=1073780026/40065/N2,"/ASBH-0.5""-CY-392223-AT1/B01",SCBRAN,,"/ASBH-20""-GPS-381104-AD5/B01"
283,/ASBHA-P-3948,SCEQUI,/=1073780026/40065/N2,"/ASBH-0.5""-CY-392221-AT1/B02",SCBRAN,,"/ASBH-20""-GPS-381104-AD5/B06"
285,/ASBHA-P-3948,SCEQUI,/=1073780026/40065/N2,"/ASBH-0.5""-CY-392221-AT1/B05",SCBRAN,,"/ASBH-20""-GPS-381104-AD5/B07"
288,/ASBHA-P-3948,SCEQUI,/=1073780026/40065/N2,"/ASBH-0.5""-CY-392130-AT1/B01",SCBRAN,,"/ASBH-20""-GPS-381104-AD5/B11"
289,/ASBHA-P-3948,SCEQUI,/=1073780026/40065/N,"/ASBH-1""-CY-392219-AT1/B03",SCBRAN,,"/ASBH-3""-GPS-381102-AD4/B01"
291,/ASBHA-P-3948,SCEQUI,/=1073780026/40065/N,"/ASBH-1""-CY-392219-AT1/B02",SCBRAN,,"/ASBH-4""-GPS-381103-AD4/B01"
293,/ASBHA-P-3948,SCEQUI,/=1073780026/40065/N,"/ASBH-1""-CY-392220-AT1/B01",SCBRAN,,"/ASBH-6""-GPS-380901-AD4/B01"
296,/ASBHA-P-3948,SCEQUI,/=1073780026/40065/N,"/ASBH-1""-CY-392219-AT1/B04",SCBRAN,,"/ASBH-8""-GPS-381001-AD4/B01"
298,/ASBHA-P-3948,SCEQUI,/=1073780026/40065/N,"/ASBH-1""-CY-392219-AT1/B05",SCBRAN,,"/ASBH-8""-GPS-381101-AD4/B01"
301,/ASBHA-P-3948,SCEQUI,/=1073780026/40065/N2,"/ASBH-0.5""-CY-392221-AT1/B03",SCBRAN,,"/ASBH-8""-GPS-381201-AD4/B01"
